trend_tag,week_start,count,avg_engagement
cherry_cola_lips,2025-08-25,8,132.38
cherry_cola_lips,2025-09-01,7,205.71
cherry_cola_lips,2025-09-08,7,282.0
cherry_cola_lips,2025-09-15,5,208.2
cherry_cola_lips,2025-09-22,6,157.17
cherry_cola_lips,2025-09-29,2,278.5
cherry_cola_lips,2025-10-06,11,218.45
cherry_cola_lips,2025-10-13,5,196.8
cherry_cola_lips,2025-10-20,5,254.0
cherry_cola_lips,2025-10-27,8,230.75
cherry_cola_lips,2025-11-03,6,210.83
cherry_cola_lips,2025-11-10,5,272.4
cherry_cola_lips,2025-11-17,6,206.67
cherry_cola_lips,2025-11-24,10,195.3
cherry_cola_lips,2025-12-01,6,263.5
cherry_cola_lips,2025-12-08,5,169.2
cherry_cola_lips,2025-12-15,9,134.78
cherry_cola_lips,2025-12-22,3,187.33
cherry_cola_lips,2025-12-29,7,243.71
cherry_cola_lips,2026-01-05,5,208.0
cherry_cola_lips,2026-01-12,3,250.67
cherry_cola_lips,2026-01-19,9,249.67
cherry_cola_lips,2026-01-26,3,266.33
cherry_cola_lips,2026-02-02,3,307.0
cherry_cola_lips,2026-02-09,5,225.8
cherry_cola_lips,2026-02-16,4,239.25
cherry_cola_lips,2026-02-23,9,226.89
cherry_cola_lips,2026-03-02,5,238.4
cherry_cola_lips,2026-03-09,5,221.2
cherry_cola_lips,2026-03-16,4,98.5
cherry_cola_lips,2026-03-23,6,219.0
cherry_cola_lips,2026-03-30,4,140.5
cherry_cola_lips,2026-04-06,3,195.0
clean_girl_makeup,2025-08-25,4,179.0
clean_girl_makeup,2025-09-01,8,207.62
clean_girl_makeup,2025-09-08,7,225.0
clean_girl_makeup,2025-09-15,9,165.0
clean_girl_makeup,2025-09-22,5,192.6
clean_girl_makeup,2025-09-29,5,253.2
clean_girl_makeup,2025-10-06,5,177.0
clean_girl_makeup,2025-10-13,6,238.5
clean_girl_makeup,2025-10-20,6,266.17
clean_girl_makeup,2025-10-27,7,198.0
clean_girl_makeup,2025-11-03,3,338.33
clean_girl_makeup,2025-11-10,5,238.4
clean_girl_makeup,2025-11-17,8,225.5
clean_girl_makeup,2025-11-24,6,182.5
clean_girl_makeup,2025-12-01,6,188.33
clean_girl_makeup,2025-12-08,3,248.67
clean_girl_makeup,2025-12-15,9,230.22
clean_girl_makeup,2025-12-22,3,214.0
clean_girl_makeup,2025-12-29,7,172.57
clean_girl_makeup,2026-01-05,7,250.57
clean_girl_makeup,2026-01-12,6,168.5
clean_girl_makeup,2026-01-19,7,165.0
clean_girl_makeup,2026-01-26,5,162.2
clean_girl_makeup,2026-02-02,12,191.92
clean_girl_makeup,2026-02-09,1,249.0
clean_girl_makeup,2026-02-16,7,288.71
clean_girl_makeup,2026-02-23,10,253.2
clean_girl_makeup,2026-03-02,7,163.29
clean_girl_makeup,2026-03-09,4,239.25
clean_girl_makeup,2026-03-16,6,186.5
clean_girl_makeup,2026-03-23,7,136.43
clean_girl_makeup,2026-03-30,10,220.5
clean_girl_makeup,2026-04-06,4,154.0
euphoria_glitter_liner,2025-08-25,3,282.67
euphoria_glitter_liner,2025-09-01,4,331.0
euphoria_glitter_liner,2025-09-08,3,264.0
euphoria_glitter_liner,2025-09-15,4,174.25
euphoria_glitter_liner,2025-09-22,2,159.0
euphoria_glitter_liner,2025-09-29,6,299.17
euphoria_glitter_liner,2025-10-06,11,288.36
euphoria_glitter_liner,2025-10-13,6,202.5
euphoria_glitter_liner,2025-10-20,7,210.0
euphoria_glitter_liner,2025-10-27,7,167.57
euphoria_glitter_liner,2025-11-03,8,238.0
euphoria_glitter_liner,2025-11-10,6,230.5
euphoria_glitter_liner,2025-11-17,9,155.11
euphoria_glitter_liner,2025-11-24,9,222.78
euphoria_glitter_liner,2025-12-01,8,249.62
euphoria_glitter_liner,2025-12-08,6,222.5
euphoria_glitter_liner,2025-12-15,4,311.25
euphoria_glitter_liner,2025-12-22,10,179.2
euphoria_glitter_liner,2025-12-29,8,192.12
euphoria_glitter_liner,2026-01-05,4,186.0
euphoria_glitter_liner,2026-01-12,5,231.6
euphoria_glitter_liner,2026-01-19,3,78.33
euphoria_glitter_liner,2026-01-26,6,120.83
euphoria_glitter_liner,2026-02-02,7,238.71
euphoria_glitter_liner,2026-02-09,9,143.11
euphoria_glitter_liner,2026-02-16,5,240.0
euphoria_glitter_liner,2026-02-23,5,244.4
euphoria_glitter_liner,2026-03-02,4,164.25
euphoria_glitter_liner,2026-03-09,8,257.5
