date,trend_tag,mention_count,post_count,avg_engagement_proxy,rolling_7d_mention_sum
2024-04-09,cherry_cola_lips,2,0,45.84,2
2024-04-10,cherry_cola_lips,1,0,45.27,3
2024-04-11,cherry_cola_lips,0,0,44.61,3
2024-04-12,cherry_cola_lips,2,0,41.58,5
2024-04-13,cherry_cola_lips,1,1,37.59,6
2024-04-14,cherry_cola_lips,3,1,34.27,9
2024-04-15,cherry_cola_lips,2,0,45.92,11
2024-04-16,cherry_cola_lips,1,1,36.85,10
2024-04-17,cherry_cola_lips,1,0,42.1,10
2024-04-18,cherry_cola_lips,2,1,42.78,12
2024-04-19,cherry_cola_lips,1,0,38.55,11
2024-04-20,cherry_cola_lips,2,0,42.42,12
2024-04-21,cherry_cola_lips,3,1,39.95,12
2024-04-22,cherry_cola_lips,2,1,46.94,12
2024-04-23,cherry_cola_lips,3,1,60.71,14
2024-04-24,cherry_cola_lips,1,0,42.95,14
2024-04-25,cherry_cola_lips,1,1,47.18,13
2024-04-26,cherry_cola_lips,2,0,44.37,14
2024-04-27,cherry_cola_lips,2,0,42.16,14
2024-04-28,cherry_cola_lips,3,1,44.59,14
2024-04-29,cherry_cola_lips,3,0,40.17,15
2024-04-30,cherry_cola_lips,1,1,49.02,13
2024-05-01,cherry_cola_lips,1,1,41.14,13
2024-05-02,cherry_cola_lips,2,0,40.81,14
2024-05-03,cherry_cola_lips,2,0,42.29,14
2024-05-04,cherry_cola_lips,1,0,42.7,13
2024-05-05,cherry_cola_lips,2,1,47.8,12
2024-05-06,cherry_cola_lips,2,0,36.6,11
2024-05-07,cherry_cola_lips,1,0,51.32,11
2024-05-08,cherry_cola_lips,1,0,48.7,11
2024-05-09,cherry_cola_lips,0,0,46.23,9
2024-05-10,cherry_cola_lips,2,0,37.14,9
2024-05-11,cherry_cola_lips,2,2,46.78,10
2024-05-12,cherry_cola_lips,2,0,22.33,10
2024-05-13,cherry_cola_lips,3,0,32.56,11
2024-05-14,cherry_cola_lips,2,0,47.17,12
2024-05-15,cherry_cola_lips,0,0,44.31,11
2024-05-16,cherry_cola_lips,0,0,48.49,11
2024-05-17,cherry_cola_lips,2,0,51.09,11
2024-05-18,cherry_cola_lips,0,0,32.82,9
2024-05-19,cherry_cola_lips,1,0,37.01,8
2024-05-20,cherry_cola_lips,2,0,27.86,7
2024-05-21,cherry_cola_lips,1,0,47.17,6
2024-05-22,cherry_cola_lips,1,0,35.77,7
2024-05-23,cherry_cola_lips,0,0,51.98,7
