trend_tag,week_start,count,avg_engagement
cherry_cola_lips,2025-02-10,8,41.94
cherry_cola_lips,2025-02-17,11,44.27
cherry_cola_lips,2025-02-24,11,42.98
cherry_cola_lips,2025-03-03,8,45.23
cherry_cola_lips,2025-03-10,9,45.32
cherry_cola_lips,2025-03-17,6,38.87
cherry_cola_lips,2025-03-24,6,41.37
cherry_cola_lips,2025-03-31,7,43.53
cherry_cola_lips,2025-04-07,8,45.68
cherry_cola_lips,2025-04-14,17,43.5
cherry_cola_lips,2025-04-21,19,42.56
cherry_cola_lips,2025-04-28,22,43.1
cherry_cola_lips,2025-05-05,25,48.27
cherry_cola_lips,2025-05-12,29,43.58
cherry_cola_lips,2025-05-19,33,45.09
cherry_cola_lips,2025-05-26,34,45.36
cherry_cola_lips,2025-06-02,32,39.64
cherry_cola_lips,2025-06-09,31,43.82
cherry_cola_lips,2025-06-16,30,47.27
cherry_cola_lips,2025-06-23,35,47.13
cherry_cola_lips,2025-06-30,36,46.9
cherry_cola_lips,2025-07-07,38,45.2
cherry_cola_lips,2025-07-14,37,47.1
cherry_cola_lips,2025-07-21,42,48.42
cherry_cola_lips,2025-07-28,49,52.65
cherry_cola_lips,2025-08-04,52,46.2
cherry_cola_lips,2025-08-11,53,52.95
cherry_cola_lips,2025-08-18,53,49.6
cherry_cola_lips,2025-08-25,54,55.41
cherry_cola_lips,2025-09-01,51,49.47
cherry_cola_lips,2025-09-08,51,45.53
cherry_cola_lips,2025-09-15,50,46.84
cherry_cola_lips,2025-09-22,51,53.47
cherry_cola_lips,2025-09-29,49,55.0
cherry_cola_lips,2025-10-06,47,48.25
cherry_cola_lips,2025-10-13,49,46.23
cherry_cola_lips,2025-10-20,50,49.35
cherry_cola_lips,2025-10-27,52,51.35
cherry_cola_lips,2025-11-03,56,47.6
cherry_cola_lips,2025-11-10,67,54.41
cherry_cola_lips,2025-11-17,55,47.87
cherry_cola_lips,2025-11-24,55,50.75
cherry_cola_lips,2025-12-01,53,48.24
cherry_cola_lips,2025-12-08,60,49.32
cherry_cola_lips,2025-12-15,54,51.24
cherry_cola_lips,2025-12-22,47,51.42
cherry_cola_lips,2025-12-29,48,46.5
cherry_cola_lips,2026-01-05,44,47.79
cherry_cola_lips,2026-01-12,45,50.26
cherry_cola_lips,2026-01-19,48,44.87
cherry_cola_lips,2026-01-26,49,48.5
cherry_cola_lips,2026-02-02,55,50.52
clean_girl_makeup,2025-02-10,43,45.28
clean_girl_makeup,2025-02-17,44,46.09
clean_girl_makeup,2025-02-24,40,50.34
clean_girl_makeup,2025-03-03,37,49.43
clean_girl_makeup,2025-03-10,27,49.07
clean_girl_makeup,2025-03-17,29,43.7
clean_girl_makeup,2025-03-24,23,44.64
clean_girl_makeup,2025-03-31,16,43.44
clean_girl_makeup,2025-04-07,16,45.99
clean_girl_makeup,2025-04-14,11,40.72
clean_girl_makeup,2025-04-21,16,43.73
clean_girl_makeup,2025-04-28,11,44.26
clean_girl_makeup,2025-05-05,13,49.65
clean_girl_makeup,2025-05-12,17,42.0
clean_girl_makeup,2025-05-19,14,49.49
